time	V(v_out)	I(I1)
7.719750000000123e-04	4.960594e+00	4.955500e-01
7.725678571428697e-04	4.960104e+00	5.062215e-01
7.731607142857273e-04	4.959664e+00	5.168929e-01
7.737535714285848e-04	4.959276e+00	5.275643e-01
7.743464285714422e-04	4.958938e+00	5.382357e-01
7.749392857142996e-04	4.958650e+00	5.489072e-01
7.755321428571572e-04	4.958413e+00	5.595786e-01
7.761250000000147e-04	4.958227e+00	5.702500e-01
7.766607142857293e-04	4.958090e+00	5.798928e-01
7.771964285714438e-04	4.957977e+00	5.895357e-01
7.777321428571584e-04	4.957888e+00	5.991785e-01
7.782678571428730e-04	4.957825e+00	6.088214e-01
7.788035714285876e-04	4.957785e+00	6.184643e-01
7.793392857143021e-04	4.957771e+00	6.281071e-01
7.798750000000168e-04	4.957781e+00	6.377500e-01
7.800821428571598e-04	4.957788e+00	6.414786e-01
7.802892857143027e-04	4.957798e+00	6.452071e-01
7.804964285714457e-04	4.957810e+00	6.489357e-01
7.807035714285887e-04	4.957824e+00	6.526643e-01
7.809107142857317e-04	4.957841e+00	6.563928e-01
7.811178571428746e-04	4.957860e+00	6.601214e-01
7.813250000000176e-04	4.957882e+00	6.638500e-01
7.813750000000176e-04	4.957887e+00	6.647500e-01
7.814250000000177e-04	4.957893e+00	6.656500e-01
7.815250000000177e-04	4.957904e+00	6.674500e-01
7.816750000000178e-04	4.957923e+00	6.701500e-01
7.820107142857323e-04	4.957968e+00	6.761929e-01
7.823464285714467e-04	4.958018e+00	6.822357e-01
7.826821428571613e-04	4.958072e+00	6.882786e-01
7.830178571428757e-04	4.958130e+00	6.943215e-01
7.833535714285902e-04	4.958193e+00	7.003643e-01
7.836892857143046e-04	4.958260e+00	7.064072e-01
7.840250000000191e-04	4.958331e+00	7.124500e-01
7.845964285714480e-04	4.958460e+00	7.227357e-01
7.851678571428769e-04	4.958596e+00	7.330214e-01
7.857392857143058e-04	4.958738e+00	7.433071e-01
7.863107142857346e-04	4.958886e+00	7.535928e-01
7.868821428571635e-04	4.959041e+00	7.638786e-01
7.874535714285924e-04	4.959202e+00	7.741643e-01
7.880250000000213e-04	4.959370e+00	7.844500e-01
7.888178571428788e-04	4.959608e+00	7.987214e-01
7.896107142857365e-04	4.959849e+00	8.129929e-01
